"Latest: Time (s)","Latest: Y Acceleration 1 (m/s²)","Latest: X Acceleration 1 (m/s²)","Latest: Z Acceleration 1 (m/s²)","Latest: Z Acceleration 2 (m/s²)","Latest: X Acceleration 2 (m/s²)","Latest: Y Acceleration 2 (m/s²)"
2.042516,-0.0819092459569,10.0677460476,1.03468442336,0.865196362836,10.9240348752,0.566856114019
2.044182,-0.0357644562901,10.1131269228,1.08006529859,0.971273713047,10.9240348752,0.566856114019
2.045848,-0.0357644562901,10.1131269228,1.08006529859,0.829837246099,10.9604407263,0.566856114019
2.047514,0.0103803333768,10.158507798,1.12544617383,0.865196362836,10.887629024,0.496137880546
2.04918,-0.0357644562901,10.1131269228,1.08006529859,0.794478129363,10.887629024,0.531496997282
2.050846,-0.0357644562901,10.1131269228,1.08006529859,0.865196362836,10.9240348752,0.602215230756
2.052512,-0.0357644562901,10.1131269228,1.03468442336,0.794478129363,10.9968465774,0.67293346423
2.054178,0.0565251230437,10.2038886733,1.17082704906,0.865196362836,10.9240348752,0.566856114019
2.055844,-0.0357644562901,10.158507798,1.08006529859,0.829837246099,10.887629024,0.496137880546
2.05751,-0.0357644562901,10.1131269228,1.08006529859,0.865196362836,10.887629024,0.531496997282
2.059176,-0.0357644562901,10.1131269228,1.08006529859,0.865196362836,10.9240348752,0.566856114019
2.060842,0.0103803333768,10.1131269228,1.08006529859,0.829837246099,10.8512231729,0.460778763809
2.062508,-0.0357644562901,10.1131269228,1.03468442336,0.865196362836,10.9240348752,0.566856114019
2.064174,-0.0357644562901,10.1131269228,1.08006529859,0.865196362836,10.9240348752,0.566856114019
2.06584,-0.0357644562901,10.1131269228,1.08006529859,0.93591459631,10.9968465774,0.566856114019
2.067506,-0.0357644562901,10.1131269228,1.03468442336,0.900555479573,10.9604407263,0.602215230756
2.069172,-0.0357644562901,10.1131269228,1.08006529859,0.865196362836,10.887629024,0.566856114019
2.070838,-0.0357644562901,10.1131269228,1.03468442336,0.900555479573,10.887629024,0.566856114019
2.072504,-0.0357644562901,10.1131269228,1.08006529859,0.865196362836,10.9604407263,0.566856114019
2.07417,-0.0357644562901,10.1131269228,1.03468442336,0.829837246099,10.887629024,0.531496997282
2.075836,-0.0357644562901,10.1131269228,1.08006529859,0.865196362836,10.9240348752,0.566856114019
2.077502,-0.0357644562901,10.1131269228,1.08006529859,0.900555479573,10.9240348752,0.566856114019
2.079168,-0.0357644562901,10.1131269228,1.08006529859,0.829837246099,10.8512231729,0.566856114019
2.080834,0.0565251230437,10.2038886733,1.12544617383,0.865196362836,10.9240348752,0.566856114019
2.0825,-0.0357644562901,10.1131269228,1.08006529859,0.865196362836,10.9240348752,0.566856114019
2.084166,-0.0357644562901,10.1131269228,1.08006529859,0.971273713047,11.0332524286,0.637574347493
2.085832,-0.0357644562901,10.1131269228,1.08006529859,0.865196362836,10.9604407263,0.566856114019
2.087498,-0.0357644562901,10.1131269228,1.08006529859,0.865196362836,10.887629024,0.531496997282
2.089164,-0.0819092459569,10.0677460476,1.03468442336,0.865196362836,10.887629024,0.566856114019
2.09083,-0.0357644562901,10.1131269228,1.08006529859,0.900555479573,10.9240348752,0.566856114019
2.092496,-0.0357644562901,10.1131269228,1.08006529859,0.794478129363,10.9604407263,0.67293346423
2.094162,-0.0357644562901,10.1131269228,1.08006529859,0.900555479573,10.9240348752,0.566856114019
2.095828,-0.0357644562901,10.1131269228,1.03468442336,0.865196362836,10.9240348752,0.566856114019
2.097494,-0.0357644562901,10.1131269228,1.08006529859,0.900555479573,10.9240348752,0.566856114019
2.09916,-0.0357644562901,10.1131269228,1.03468442336,0.865196362836,10.9240348752,0.566856114019
2.100826,-0.0819092459569,10.1131269228,1.03468442336,0.829837246099,10.887629024,0.531496997282
2.102492,0.0565251230437,10.158507798,1.12544617383,0.865196362836,10.887629024,0.566856114019
2.104158,-0.0357644562901,10.1131269228,1.08006529859,0.865196362836,10.9240348752,0.566856114019
2.105824,-0.0357644562901,10.1131269228,1.08006529859,0.794478129363,10.9968465774,0.637574347493
2.10749,-0.0357644562901,10.1131269228,1.03468442336,0.900555479573,10.9604407263,0.602215230756
2.109156,-0.0357644562901,10.1131269228,1.08006529859,0.829837246099,10.887629024,0.531496997282
2.110822,-0.0357644562901,10.158507798,1.03468442336,0.900555479573,10.9240348752,0.566856114019
2.112488,-0.0357644562901,10.1131269228,1.03468442336,0.865196362836,10.9604407263,0.566856114019
2.114154,-0.0819092459569,10.0677460476,1.08006529859,0.865196362836,10.887629024,0.496137880546
2.11582,0.0565251230437,10.2038886733,1.12544617383,0.865196362836,10.9240348752,0.566856114019
2.117486,-0.0357644562901,10.1131269228,1.08006529859,0.900555479573,10.9240348752,0.566856114019
2.119152,-0.0357644562901,10.1131269228,1.08006529859,0.865196362836,10.9968465774,0.637574347493
2.120818,-0.0357644562901,10.1131269228,1.08006529859,0.865196362836,10.887629024,0.602215230756
2.122484,-0.0819092459569,10.0677460476,1.08006529859,0.865196362836,10.9240348752,0.531496997282
2.12415,-0.0819092459569,10.0677460476,1.03468442336,0.93591459631,10.887629024,0.531496997282
2.125816,0.0565251230437,10.158507798,1.12544617383,0.829837246099,10.9240348752,0.602215230756
2.127482,-0.0357644562901,10.1131269228,1.08006529859,0.865196362836,10.887629024,0.496137880546
2.129148,-0.0357644562901,10.1131269228,1.08006529859,0.829837246099,10.887629024,0.566856114019
2.130814,-0.0357644562901,10.1131269228,1.08006529859,0.900555479573,10.9604407263,0.566856114019
2.13248,-0.0357644562901,10.1131269228,1.08006529859,0.829837246099,10.9968465774,0.67293346423
2.134146,-0.0357644562901,10.1131269228,1.08006529859,0.900555479573,10.9240348752,0.566856114019
2.135812,0.0565251230437,10.158507798,1.12544617383,0.865196362836,10.9240348752,0.531496997282
2.137478,-0.0357644562901,10.1131269228,1.08006529859,0.865196362836,10.887629024,0.531496997282
2.139144,-0.0357644562901,10.1131269228,1.08006529859,0.865196362836,10.9240348752,0.566856114019
2.14081,-0.0357644562901,10.0677460476,1.03468442336,0.829837246099,10.887629024,0.496137880546
2.142476,-0.0357644562901,10.1131269228,1.08006529859,0.829837246099,10.887629024,0.566856114019
2.144142,-0.0357644562901,10.1131269228,1.08006529859,0.865196362836,10.9240348752,0.531496997282
2.145808,0.0565251230437,10.158507798,1.17082704906,0.93591459631,11.0332524286,0.637574347493
2.147474,-0.0357644562901,10.0677460476,1.08006529859,0.900555479573,10.9240348752,0.566856114019
2.14914,-0.0819092459569,10.0677460476,1.08006529859,0.829837246099,10.9240348752,0.496137880546
2.150806,0.0103803333768,10.158507798,1.12544617383,0.900555479573,10.887629024,0.531496997282
2.152472,0.0565251230437,10.2038886733,1.12544617383,0.865196362836,10.9604407263,0.566856114019
2.154138,0.0565251230437,10.158507798,1.08006529859,0.794478129363,10.8148173218,0.496137880546
2.155804,0.0565251230437,10.158507798,1.12544617383,0.865196362836,10.9240348752,0.566856114019
2.15747,0.0103803333768,10.158507798,1.12544617383,0.900555479573,10.9240348752,0.566856114019
2.159136,0.0565251230437,10.2038886733,1.12544617383,0.794478129363,10.9968465774,0.67293346423
2.160802,0.0565251230437,10.2038886733,1.17082704906,0.900555479573,10.9240348752,0.566856114019
2.162468,-0.0357644562901,10.1131269228,1.08006529859,0.865196362836,10.9240348752,0.496137880546
2.164134,-0.0357644562901,10.0677460476,1.03468442336,0.900555479573,10.887629024,0.566856114019
2.1658,0.102669912711,10.2038886733,1.17082704906,0.829837246099,10.9240348752,0.566856114019
2.167466,-0.0357644562901,10.1131269228,1.08006529859,0.829837246099,10.8148173218,0.496137880546
2.169132,-0.0357644562901,10.1131269228,1.03468442336,0.865196362836,10.887629024,0.566856114019
2.170798,-0.0357644562901,10.1131269228,1.03468442336,0.865196362836,10.9240348752,0.566856114019
2.172464,-0.0357644562901,10.1131269228,1.08006529859,0.900555479573,11.0332524286,0.637574347493
2.17413,0.0103803333768,10.158507798,1.08006529859,0.865196362836,10.9240348752,0.602215230756
2.175796,-0.0357644562901,10.1131269228,1.08006529859,0.829837246099,10.887629024,0.566856114019
2.177462,-0.0357644562901,10.1131269228,1.08006529859,0.865196362836,10.887629024,0.566856114019
2.179128,-0.0357644562901,10.1131269228,1.03468442336,0.900555479573,10.9240348752,0.602215230756
2.180794,-0.0357644562901,10.1131269228,1.08006529859,0.829837246099,10.887629024,0.496137880546
2.18246,-0.0357644562901,10.1131269228,1.03468442336,0.865196362836,10.887629024,0.602215230756
2.184126,-0.0357644562901,10.0677460476,1.03468442336,0.900555479573,10.9240348752,0.602215230756
2.185792,-0.0357644562901,10.1131269228,1.08006529859,0.971273713047,11.0332524286,0.637574347493
2.187458,-0.0357644562901,10.0677460476,1.03468442336,0.865196362836,10.9240348752,0.566856114019
2.189124,0.0565251230437,10.2038886733,1.08006529859,0.865196362836,10.887629024,0.531496997282
2.19079,-0.0357644562901,10.0677460476,1.03468442336,0.829837246099,10.887629024,0.566856114019
2.192456,-0.0357644562901,10.1131269228,1.08006529859,0.865196362836,10.9604407263,0.566856114019
2.194122,0.102669912711,10.2038886733,1.17082704906,0.794478129363,10.8512231729,0.460778763809
2.195788,-0.0357644562901,10.1131269228,1.03468442336,0.865196362836,10.887629024,0.602215230756
2.197454,-0.0357644562901,10.1131269228,1.03468442336,0.865196362836,10.9240348752,0.566856114019
2.19912,0.0565251230437,10.2038886733,1.12544617383,0.971273713047,10.9968465774,0.637574347493
2.200786,0.0103803333768,10.158507798,1.08006529859,0.865196362836,10.9240348752,0.602215230756
2.202452,0.102669912711,10.2038886733,1.17082704906,0.900555479573,10.887629024,0.531496997282
